nominative,inessive,type
kemigrafinen,kemigrafisessa,38
kenguru,kengurussa,2
kenkkumainen,kenkkumaisessa,38
kennomainen,kennomaisessa,38
kennosto,kennostossa,2
kenotsooinen,kenotsooisessa,38
kentällinen,kentällisessä,38
keplottelu,keplottelussa,2
kepponen,kepposessa,38
kepulainen,kepulaisessa,38
keraaminen,keraamisessa,38
kerake,kerakkeessa,48
kerettiläinen,kerettiläisessä,38
kerholainen,kerholaisessa,38
kerjäläinen,kerjäläisessä,38
kermainen,kermaisessa,38
kerrallinen,kerrallisessa,38
kerrannainen,kerrannaisessa,38
kerrasto,kerrastossa,2
kerroksellinen,kerroksellisessä,38
kerroksinen,kerroksisessa,38
kerroksittainen,kerroksittaisessa,38
kerronnallinen,kerronnallisessa,38
kerrospukeutuminen,kerrospukeutumisessa,38
kerrostaloasuminen,kerrostaloasumisessa,38
kerrosteinen,kerrosteisessa,38
kerrotunlainen,kerrotunlaisessa,38
kerskailu,kerskailussa,2
-kertainen,-kertaisessa,38
kertakaikkinen,kertakaikkisessa,38
kerttunen,kerttusessa,38
keräily,keräilyssä,2
kesakkoinen,kesakkoisessa,38
keskeinen,keskeisessä,38
keskeneräinen,keskeneräisessä,38
keskeyte,keskeytteessä,48
keskimmäinen,keskimmäisessä,38
keskinen,keskisessä,38
keskinäinen,keskinäisessä,38
keskipakoinen,keskipakoisessa,38
keskonen,keskosessa,38
keskustalainen,keskustalaisessa,38
keskustelu,keskustelussa,2
kestoinen,kestoisessa,38
kesäinen,kesäisessä,38
kesäkangas,kesäkankaassa,41
kesällinen,kesällisessä,38
ketale,ketaleessa,48
ketjullinen,ketjullisessa,38
ketkale,ketkaleessa,48
ketteräliikkeinen,ketteräliikkeisessä,38
kettumainen,kettumaisessa,38
keulimmainen,keulimmaisessa,38
keväinen,keväisessä,38
keväällinen,keväällisessä,38
kide,kiteessä,48
kiekaisu,kiekaisussa,2
kiekurainen,kiekuraisessa,38
kieleke,kielekkeessä,48
kielekkeinen,kielekkeisessä,38
kielellinen,kielellisessä,38
kielimäinen,kielimäisessä,38
kielteinen,kielteisessä,38
kieltely,kieltelyssä,2
kieltäymyksellinen,kieltäymyksellisessä,38
kiemurainen,kiemuraisessa,38
kiemurtelu,kiemurtelussa,2
kieroilu,kieroilussa,2
kierre,kierteessä,48
kierteellinen,kierteellisessä,38
kierteinen,kierteisessä,38
kiertely,kiertelyssä,2
kiertolainen,kiertolaisessa,38
kiertue,kiertueessa,48
kiertuelainen,kiertuelaisessa,38
kierukkainen,kierukkaisessa,38
kietaisu,kietaisussa,2
kihara,kiharassa,11
kiharainen,kiharaisessa,38
kihlajaiset,—,38
kiihkoilu,kiihkoilussa,2
kiihoke,kiihokkeessa,48
kiihote,kiihotteessa,48
kiiliäinen,kiiliäisessä,38
kiille,kiilteessä,48
kiilloke,kiillokkeessa,48
kiillote,kiillotteessa,48
kiiltely,kiiltelyssä,2
kiilukainen,kiilukaisessa,38
kiimainen,kiimaisessa,38
kiinalainen,kiinalaisessa,38
kiinne,kiinteessä,48
kiinnike,kiinnikkeessä,48
kiinnite,kiinnitteessä,48
kiinteistö,kiinteistössä,2
kiintonainen,kiintonaisessa,38
kiipeily,kiipeilyssä,2
kiire,kiireessä,48
kiire,kiireessä,48
kiireellinen,kiireellisessä,38
kiireinen,kiireisessä,38
kiiru,kiirussa,48
kiistainen,kiistaisessa,38
kiistely,kiistelyssä,2
kiitollinen,kiitollisessa,38
kiivailu,kiivailussa,2
kiivas,kiivaassa,41
kikkailu,kikkailussa,2
kikkara,kikkarassa,11
kikuju,kikujussa,2
kiliastinen,kiliastisessa,38
kiljaisu,kiljaisussa,2
kilke,kilkkeessä,48
kiloinen,kiloisessa,38
kilpailu,kilpailussa,2
kilpailullinen,kilpailullisessa,38
kiltalainen,kiltalaisessa,38
kilvoittelu,kilvoittelussa,2
kimalainen,kimalaisessa,38
kimalle,kimalteessa,48
kimalteinen,kimalteisessa,38
kimaltelu,kimaltelussa,2
kimmelle,kimmelteessä,48
kimmeltely,kimmeltelyssä,2
kimmoinen,kimmoisessa,38
kimmoke,kimmokkeessa,48
kimono,kimonossa,2
kimpale,kimpaleessa,48
kinailu,kinailussa,2
kinastelu,kinastelussa,2
kineettinen,kineettisessä,38
kinemaattinen,kinemaattisessa,38
kinesteettinen,kinesteettisessä,38
kinkkinen,kinkkisessä,38
kinnas,kintaassa,41
kipaisu,kipaisussa,2
kipale,kipaleessa,48
kipollinen,kipollisessa,38
kippurainen,kippuraisessa,38
kipsinen,kipsisessä,38
kiramo,kiramossa,2
kireäpipoinen,kireäpipoisessa,38
kiristely,kiristelyssä,2
kirjaamo,kirjaamossa,2
kirjailu,kirjailussa,2
kirjaimellinen,kirjaimellisessa,38
kirjake,kirjakkeessa,48
kirjallinen,kirjallisessa,38
kirjanen,kirjasessa,38
kirjanpidollinen,kirjanpidollisessa,38
kirjasto,kirjastossa,2
kirje,kirjeessä,48
kirjeellinen,kirjeellisessä,38
kirjoite,kirjoitteessa,48
kirjoittelu,kirjoittelussa,2
kirkaisu,kirkaisussa,2
kirkas,kirkkaassa,41
kirkaste,kirkasteessa,48
kirkasvaloinen,kirkasvaloisessa,38
kirkollinen,kirkollisessa,38
kiroilu,kiroilussa,2
kirpaisu,kirpaisussa,2
kirroottinen,kirroottisessa,38
kirurginen,kirurgisessa,38
kirvely,kirvelyssä,2
kirves,kirveessä,41
kirvinen,kirvisessä,38
kisailu,kisailussa,2
kiskaisu,kiskaisussa,2
kiskottelu,kiskottelussa,2
kissamainen,kissamaisessa,38
kiteinen,kiteisessä,38
kitkainen,kitkaisessa,38
kitkerö,kitkerössä,2
kitsas,kitsaassa,41
kitsastelu,kitsastelussa,2
kitulias,kituliaassa,41
kituset,—,38
kiuas,kiukaassa,41
kiukkuinen,kiukkuisessa,38
kiukuttelu,kiukuttelussa,2
kiusallinen,kiusallisessa,38
kiusoittelu,kiusoittelussa,2
kivellinen,kivellisessä,38
kivennuoliainen,kivennuoliaisessa,38
kivennäinen,kivennäisessä,38
kiverä,kiverässä,11
kivikkoinen,kivikkoisessa,38
kivinen,kivisessä,38
kivulias,kivuliaassa,41
kivullinen,kivullisessa,38
kivulloinen,kivulloisessa,38
klanipäinen,klanipäisessä,38
klassillinen,klassillisessa,38
klassinen,klassisessa,38
klassisistinen,klassisistisessa,38
kleptomaaninen,kleptomaanisessa,38
kliininen,kliinisessä,38
klimakteerinen,klimakteerisessa,38
koaksiaalinen,koaksiaalisessa,38
kodikas,kodikkaassa,41
koe,kokeessa,48
koettelu,koettelussa,2
kognitiivinen,kognitiivisessa,38
kohde,kohteessa,48
kohdittainen,kohdittaisessa,38
kohelo,kohelossa,2
kohmeinen,kohmeisessa,38
kohmelo,kohmelossa,2
kohmeloinen,kohmeloisessa,38
kohokas,kohokkaassa,41
-kohtainen,-kohtaisessa,38
kohtalainen,kohtalaisessa,38
kohtalo,kohtalossa,2
kohtalokas,kohtalokkaassa,41
kohtauksittainen,kohtauksittaisessa,38
kohtelias,kohteliaassa,41
kohtelu,kohtelussa,2
kohtuullinen,kohtuullisessa,38
koillinen,koillisessa,38
koiras,koiraksessa,41
koite,koitteessa,48
koivikkoinen,koivikkoisessa,38
koivisto,koivistossa,2
koivistolainen,koivistolaisessa,38
koivuinen,koivuisessa,38
koje,kojeessa,48
kokeellinen,kokeellisessa,38
kokeilu,kokeilussa,2
kokelas,kokelaassa,41
kokkare,kokkareessa,48
kokkareinen,kokkareisessa,38
kokoinen,kokoisessa,38
kokonainen,kokonaisessa,38
kokoomuslainen,kokoomuslaisessa,38
kokopäivätoiminen,kokopäivätoimisessa,38
koksaamo,koksaamossa,2
koleerinen,koleerisessa,38
kolhaisu,kolhaisussa,2
kolke,kolkkeessa,48
kollegiaalinen,kollegiaalisessa,38
kolleginen,kollegisessa,38
kollektiivinen,kollektiivisessa,38
kollektivistinen,kollektivistisessa,38
kolloidinen,kolloidisessa,38
kolmekymppinen,kolmekymppisessä,38
kolminainen,kolminaisessa,38
kolminapainen,kolminapaisessa,38
kolmituumainen,kolmituumaisessa,38
kolmonen,kolmosessa,38
koloinen,koloisessa,38
kolonialistinen,kolonialistisessa,38
koloristinen,koloristisessa,38
kolossaalinen,kolossaalisessa,38
kolpakollinen,kolpakollisessa,38
koltiainen,koltiaisessa,38
kolttonen,kolttosessa,38
komeilu,komeilussa,2
komentelu,komentelussa,2
komero,komerossa,2
kommunistinen,kommunistisessa,38
kommuuniasuminen,kommuuniasumisessa,38
komparatiivinen,komparatiivisessa,38
kompastelu,kompastelussa,2
kompensatorinen,kompensatorisessa,38
kompleksikas,kompleksikkaassa,41
kompleksinen,kompleksisessa,38
komplementaarinen,komplementaarisessa,38
konditionaalinen,konditionaalisessa,38
kone,koneessa,48
koneellinen,koneellisessa,38
koneisto,koneistossa,2
konekoodinen,konekoodisessa,38
konekääntäminen,konekääntämisessä,38
konemainen,konemaisessa,38
konfutselainen,konfutselaisessa,38
konkelo,konkelossa,2
konkreettinen,konkreettisessa,38
konnamainen,konnamaisessa,38
konservatiivinen,konservatiivisessa,38
konstikas,konstikkaassa,41
konstitutionaalinen,konstitutionaalisessa,38
konstruktiivinen,konstruktiivisessa,38
konsultatiivinen,konsultatiivisessa,38
konsumeristinen,konsumeristisessa,38
kontrapunktinen,kontrapunktisessa,38
konventionaalinen,konventionaalisessa,38
kookas,kookkaassa,41
koominen,koomisessa,38
kooperatiivinen,kooperatiivisessa,38
koordinaatisto,koordinaatistossa,2
kooste,koosteessa,48
koosteinen,koosteisessa,38
kopallinen,kopallisessa,38
kopernikaaninen,kopernikaanisessa,38
koppelo,koppelossa,2
koppero,kopperossa,2
koppurainen,koppuraisessa,38
kopse,kopseessa,48
koptilainen,koptilaisessa,38
koputtelu,koputtelussa,2
korallinen,korallisessa,38
korealainen,korealaisessa,38
koreilu,koreilussa,2
koreografinen,koreografisessa,38
korillinen,korillisessa,38
korinttilainen,korinttilaisessa,38
korinttolainen,korinttolaisessa,38
koriste,koristeessa,48
koristeellinen,koristeellisessa,38
koristelu,koristelussa,2
korjaamo,korjaamossa,2
korjailu,korjailussa,2
korkealentoinen,korkealentoisessa,38
korkillinen,korkillisessa,38
korkkinen,korkkisessa,38
korkuinen,korkuisessa,38
koroke,korokkeessa,48
korollinen,korollisessa,38
korona,koronassa,11
koronkiskominen,koronkiskomisessa,38
koroste,korosteessa,48
korosteinen,korosteisessa,38
korporatiivinen,korporatiivisessa,38
korte,kortteessa,48
kortisto,kortistossa,2
-korvainen,-korvaisessa,38
korvake,korvakkeessa,48
korvallinen,korvallisessa,38
korvike,korvikkeessa,48
kosiskelu,kosiskelussa,2
koskelo,koskelossa,2
koskettelu,koskettelussa,2
koskinen,koskisessa,38
kosmeettinen,kosmeettisessa,38
kosminen,kosmisessa,38
kosmogoninen,kosmogonisessa,38
kosmologinen,kosmologisessa,38
kosmopoliittinen,kosmopoliittisessa,38
koste,kosteessa,48
kostuke,kostukkeessa,48
kostute,kostutteessa,48
kotelo,kotelossa,2
kotilo,kotilossa,2
kotimainen,kotimaisessa,38
kotipolttoinen,kotipolttoisessa,38
kotoinen,kotoisessa,38
kottarainen,kottaraisessa,38
kottero,kotterossa,2
kotvanen,kotvasessa,38
koukero,koukerossa,2
koukeroinen,koukeroisessa,38
koukertelu,koukertelussa,2
koukkuinen,koukkuisessa,38
koulukiusaaminen,koulukiusaamisessa,38
koululainen,koululaisessa,38
koulumainen,koulumaisessa,38
koulumestarimainen,koulumestarimaisessa,38
koulutuksellinen,koulutuksellisessa,38
kouraisu,kouraisussa,2
kourallinen,kourallisessa,38
kouristelu,kouristelussa,2
kouristuksellinen,kouristuksellisessa,38
kouristusmainen,kouristusmaisessa,38
koverre,koverteessa,48
kovete,kovetteessa,48
kovike,kovikkeessa,48
kovikekangas,kovikekankaassa,41
kovite,kovitteessa,48
kovuinen,kovuisessa,38
krakkaamo,krakkaamossa,2
krapulainen,krapulaisessa,38
kreatiivinen,kreatiivisessa,38
kreationistinen,kreationistisessa,38
kreikkalainen,kreikkalaisessa,38
kreivillinen,kreivillisessä,38
kreppikangas,kreppikankaassa,41
kriittinen,kriittisessä,38
kriminaalinen,kriminaalisessa,38
kriminologinen,kriminologisessa,38
kristallinen,kristallisessa,38
kristillinen,kristillisessä,38
kromaattinen,kromaattisessa,38
kronologinen,kronologisessa,38
krooninen,kroonisessa,38
kruunajaiset,–,38
kruusailu,kruusailussa,2
kubistinen,kubistisessa,38
kude,kuteessa,48
kudonnainen,kudonnaisessa,38
kuhertelu,kuhertelussa,2
kuhilas,kuhilaassa,41
kuhmuinen,kuhmuisessa,38
kuhmurainen,kuhmuraisessa,38
kuhnailu,kuhnailussa,2
kuikelo,kuikelossa,2
kuikuilu,kuikuilussa,2
kuirimo,kuirimossa,2
kuiskailu,kuiskailussa,2
kuiske,kuiskeessa,48
kuiskuttelu,kuiskuttelussa,2
kuituinen,kuituisessa,38
kuitukangas,kuitukankaassa,41
kuitumainen,kuitumaisessa,38
kuivaamo,kuivaamossa,2
kuivakas,kuivakkaassa,41
kuivakiskoinen,kuivakiskoisessa,38
kuivate,kuivatteessa,48
kuivattamo,kuivattamossa,2
kuivike,kuivikkeessa,48
kujanne,kujanteessa,48
kuje,kujeessa,48
kujeellinen,kujeellisessa,38
kujeilu,kujeilussa,2
kukallinen,kukallisessa,38
kukikas,kukikkaassa,41
kukkainen,kukkaisessa,38
kukkanen,kukkasessa,38
kukkaro,kukkarossa,2
kukkoilu,kukkoilussa,2
kukkonen,kukkosessa,38
kukkulainen,kukkulaisessa,38
kukkurainen,kukkuraisessa,38
kulhollinen,kulhollisessa,38
kulinaarinen,kulinaarisessa,38
kuljeskelu,kuljeskelussa,2
kulkue,kulkueessa,48
kulkunen,kulkusessa,38
kullero,kullerossa,2
kulloinenkin,kulloisessakin,38
-kulmainen,-kulmaisessa,38
kulmikas,kulmikkaassa,41
kulmittainen,kulmittaisessa,38
kultainen,kultaisessa,38
kulttuurillinen,kulttuurillisessa,38
kulttuurinen,kulttuurisessa,38
kumarainen,kumaraisessa,38
kumikangas,kumikankaassa,41
kuminen,kumisessa,38
kummajainen,kummajaisessa,38
kummallinen,kummallisessa,38
kummankinlainen,kummankinlaisessa,38
kummastelu,kummastelussa,2
kummittelu,kummittelussa,2
kummoinen,kummoisessa,38
kumouksellinen,kumouksellisessa,38
kumpainen,kumpaisessa,38
kumpainenkin,kumpaisessakin,38
kumpare,kumpareessa,48
kumpareinen,kumpareisessa,38
kumpuinen,kumpuisessa,38
kumulatiivinen,kumulatiivisessa,38
kungfutselainen,kungfutselaisessa,38
kuningas,kuninkaassa,41
kuninkaallinen,kuninkaallisessa,38
kunnallinen,kunnallisessa,38
kunnas,kunnaassa,41
kunniakas,kunniakkaassa,41
kunniallinen,kunniallisessa,38
kunnittainen,kunnittaisessa,38
kunnokas,kunnokkaassa,41
kunnollinen,kunnollisessa,38
kunnostamo,kunnostamossa,2
kuntalainen,kuntalaisessa,38
kuntoilu,kuntoilussa,2
kuohilas,kuohilaassa,41
kuohuinen,kuohuisessa,38
kuolainen,kuolaisessa,38
kuolevainen,kuolevaisessa,38
kuolioinen,kuolioisessa,38
kuontalo,kuontalossa,2
kuopake,kuopakkeessa,48
kuopanne,kuopanteessa,48
kuoppainen,kuoppaisessa,38
kuore,kuoreessa,48
kuoriainen,kuoriaisessa,38
kuorike,kuorikkeessa,48
kuorimo,kuorimossa,2
kuormallinen,kuormallisessa,38
kuormitteinen,kuormitteisessa,38
kuorolainen,kuorolaisessa,38
kuorrute,kuorrutteessa,48
kuosikas,kuosikkaassa,41
kuparinen,kuparisessa,38
kupillinen,kupillisessa,38
kuplainen,kuplaisessa,38
kuponkikangas,kuponkikankaassa,41
kuppainen,kuppaisessa,38
kupponen,kupposessa,38
kupurainen,kupuraisessa,38
kurainen,kuraisessa,38
kure,kureessa,48
kurillinen,kurillisessa,38
kurinpidollinen,kurinpidollisessa,38
kursailu,kursailussa,2
kursorinen,kursorisessa,38
kurssilainen,kurssilaisessa,38
kurttuinen,kurttuisessa,38
kurvikas,kurvikkaassa,41
kurvinen,kurvisessa,38
kusiainen,kusiaisessa,38
kusinen,kusisessa,38
kustanne,kustanteessa,48
kustantamo,kustantamossa,2
kustavilainen,kustavilaisessa,38
kutale,kutaleessa,48
kuteinen,kuteisessa,38
kutomo,kutomossa,2
kutonen,kutosessa,38
kuukausittainen,kuukausittaisessa,38
kuukautinen,–,38
kuukunen,kuukusessa,38
kuulakas,kuulakkaassa,41
kuulas,kuulaassa,41
kuuliainen,kuuliaisessa,38
kuuliaiset,—,38
kuuloinen,kuuloisessa,38
kuuloke,kuulokkeessa,48
kuulumiset,—,38
kuulustelu,kuulustelussa,2
kuuluttamo,kuuluttamossa,2
kuume,kuumeessa,48
kuumeilu,kuumeilussa,2
kuumeinen,kuumeisessa,38
kuuntelu,kuuntelussa,2
kuupallinen,kuupallisessa,38
kuupallinen,kuupallisessa,38
kuurainen,kuuraisessa,38
kuurilainen,kuurilaisessa,38
kuuroittainen,kuuroittaisessa,38
kuusilo,kuusilossa,2
kuusinen,kuusisessa,38
kuusisto,kuusistossa,2
kuusituumainen,kuusituumaisessa,38
kuutamo,kuutamossa,2
kuutamoinen,kuutamoisessa,38
kuutiollinen,kuutiollisessa,38
kuutiomainen,kuutiomaisessa,38
kuutonen,kuutosessa,38
kuvaamo,kuvaamossa,2
kuvaannollinen,kuvaannollisessa,38
kuvailu,kuvailussa,2
kuvajainen,kuvajaisessa,38
kuvake,kuvakkeessa,48
kuvallinen,kuvallisessa,38
kuvasto,kuvastossa,2
kuvauksellinen,kuvauksellisessa,38
kuve,kupeessa,48
kuvioinen,kuvioisessa,38
kuviokangas,kuviokankaassa,41
kuviollinen,kuviollisessa,38
kuvitteellinen,kuvitteellisessa,38
kuvittelu,kuvittelussa,2
kvalitatiivinen,kvalitatiivisessa,38
kvantitatiivinen,kvantitatiivisessa,38
kvartsinen,kvartsisessa,38
kvartäärinen,kvartäärisessä,38
kyberneettinen,kyberneettisessä,38
kyhmyinen,kyhmyisessä,38
kyinen,kyisessä,38
kylkiäinen,kylkiäisessä,38
kylläinen,kylläisessä,38
kylläste,kyllästeessä,48
kyllästeinen,kyllästeisessä,38
kyllästämö,kyllästämössä,2
kylmäkiskoinen,kylmäkiskoisessa,38
kyläily,kyläilyssä,2
kyläläinen,kyläläisessä,38
kymnaasilainen,kymnaasilaisessa,38
-kymppinen,-kymppisessä,38
kynnäs,kyntäässä,41
kynsikäs,kynsikkäässä,41
kynsimö,kynsimössä,2
kynte,kyntteessä,48
kynäily,kynäilyssä,2
kypsyttely,kypsyttelyssä,2
kypsyttämö,kypsyttämössä,2
kyrillinen,kyrillisessä,38
kyräily,kyräilyssä,2
kyseinen,kyseisessä,38
kysely,kyselyssä,2
kyttäily,kyttäilyssä,2
kyvykäs,kyvykkäässä,41
kyyhkyläinen,kyyhkyläisessä,38
kyyhkynen,kyyhkysessä,38
kyyneleinen,kyyneleisessä,38
kyyninen,kyynisessä,38
kyyristely,kyyristelyssä,2
kädellinen,kädellisessä,38
kähäräinen,kähäräisessä,38
käkkärä,käkkärässä,11
käkönen,käkösessä,38
kämmenenlevyinen,kämmenenlevyisessä,38
känninen,kännisessä,38
känsäinen,känsäisessä,38
käppyräinen,käppyräisessä,38
käppäily,käppäilyssä,2
käpälä,käpälässä,11
kärhämä,kärhämässä,11
käriste,käristeessä,48
kärjekäs,kärjekkäässä,41
kärjellinen,kärjellisessä,38
kärjimmäinen,kärjimmäisessä,38
kärkäs,kärkkäässä,41
kärppämäinen,kärppämäisessä,38
kärpänen,kärpäsessä,38
kärsivällinen,kärsivällisessä,38
kärsäkäs,kärsäkkäässä,41
kärsämö,kärsämössä,2
kärttyinen,kärttyisessä,38
kärtyinen,kärtyisessä,38
käryinen,käryisessä,38
käsine,käsineessä,48
käsite,käsitteessä,48
käsitteellinen,käsitteellisessä,38
-käsitteinen,-käsitteisessä,38
käsittely,käsittelyssä,2
käskyläinen,käskyläisessä,38
käteinen,käteisessä,38
kätilö,kätilössä,2
-kätinen,-kätisessä,38
kättely,kättelyssä,2
kättenpäällepaneminen,kättenpäällepanemisessa,38
kätönen,kätösessä,38
kävely,kävelyssä,2
käväisy,käväisyssä,2
käyminen,käymisessä,38
käynniste,käynnisteessä,48
käyskentely,käyskentelyssä,2
käyte,käytteessä,48
käyttely,käyttelyssä,2
käyttäytyminen,käyttäytymisessä,38
-käyttöinen,-käyttöisessä,38
käytänne,käytänteessä,48
käytännöllinen,käytännöllisessä,38
käänne,käänteessä,48
käännynnäinen,käännynnäisessä,38
käänteinen,käänteisessä,38
kääntely,kääntelyssä,2
kääre,kääreessä,48
kääriäinen,kääriäisessä,38
käärme,käärmeessä,48
käärmemäinen,käärmemäisessä,38
kääryle,kääryleessä,48
kääväkäs,kääväkkäässä,41
kölillinen,kölillisessä,38
köllöttely,köllöttelyssä,2
kömpelö,kömpelössä,2
köngäs,könkäässä,41
könniläinen,könniläisessä,38
köriläs,köriläässä,41
körttiläinen,körttiläisessä,38
köyhäily,köyhäilyssä,2
köykäinen,köykäisessä,38
köynneliäs,köynneliäässä,41
köysistö,köysistössä,2
köyte,köytteessä,48
laadukas,laadukkaassa,41
laadullinen,laadullisessa,38
laajakangas,laajakankaassa,41
laajakantoinen,laajakantoisessa,38
laajaspektrinen,laajaspektrisessä,38
laajuinen,laajuisessa,38
laatikollinen,laatikollisessa,38
laatuinen,laatuisessa,38
lahdeke,lahdekkeessa,48
lahjakas,lahjakkaassa,41
lahje,lahkeessa,48
lahkolainen,lahkolaisessa,38
lahokas,lahokkaassa,41
laidallinen,laidallisessa,38
laikkuinen,laikkuisessa,38
laikukas,laikukkaassa,41
laikullinen,laikullisessa,38
laillinen,laillisessa,38
laimenne,laimenteessa,48
lainasto,lainastossa,2
laine,laineessa,48
laineikas,laineikkaassa,41
lainen,laisessa,38
lainsäädännöllinen,lainsäädännöllisessä,38
laiskalainen,laiskalaisessa,38
laiskiainen,laiskiaisessa,38
laiskottelu,laiskottelussa,2
laitainen,laitaisessa,38
laite,laitteessa,48
laitimmainen,laitimmaisessa,38
laivalastillinen,laivalastillisessa,38
laivasto,laivastossa,2
laivue,laivueessa,48
lajikas,lajikkaassa,41
lajike,lajikkeessa,48
lajite,lajitteessa,48
lajittamo,lajittamossa,2
lajittelu,lajittelussa,2
lakaisu,lakaisussa,2
lakanakangas,lakanakankaassa,41
lakeinen,lakeisessa,38
lakkiaiset,–,38
lakkoilu,lakkoilussa,2
lakkolainen,lakkolaisessa,38
lakoinen,lakoisessa,38
lakoninen,lakonisessa,38
lamalainen,lamalaisessa,38
lammas,lampaassa,41
lammasmainen,lammasmaisessa,38
lampare,lampareessa,48
lanne,lanteessa,48
lannoite,lannoitteessa,48
lantainen,lantaisessa,38
lantalainen,lantalaisessa,38
lapanen,lapasessa,38
lape,lappeessa,48
lapidaarinen,lapidaarisessa,38
lapikas,lapikkaassa,41
lappalainen,lappalaisessa,38
lappilainen,lappilaisessa,38
lappunen,lappusessa,38
lapsekas,lapsekkaassa,41
lapseksiottaminen,lapseksiottamisessa,38
lapsellinen,lapsellisessa,38
lapsonen,lapsosessa,38
lapsukainen,lapsukaisessa,38
lasiainen,lasiaisessa,38
lasillinen,lasillisessa,38
lasimainen,lasimaisessa,38
lasinen,lasisessa,38
lasite,lasitteessa,48
laskennallinen,laskennallisessa,38
laskettelu,laskettelussa,2
laskiainen,laskiaisessa,38
laskimo,laskimossa,2
lataamo,lataamossa,2
latelu,latelussa,2
lateraalinen,lateraalisessa,38
latinainen,latinaisessa,38
latinalainen,latinalaisessa,38
latino,latinossa,2
latomo,latomossa,2
lattana,lattanassa,11
latuskainen,latuskaisessa,38
latvialainen,latvialaisessa,38
latvimmainen,latvimmaisessa,38
latvusto,latvustossa,2
lauantainen,lauantaisessa,38
laude,lauteessa,48
lauhde,lauhteessa,48
laukaisu,laukaisussa,2
laulullinen,laulullisessa,38
laupias,laupiaassa,41
lause,lauseessa,48
lauseke,lausekkeessa,48
lautailu,lautailussa,2
lautainen,lautaisessa,38
lautanen,lautasessa,38
lautasellinen,lautasellisessa,38
lautasmainen,lautasmaisessa,38
lauteet,–,48
lavallinen,lavallisessa,38
lavastamo,lavastamossa,2
lavaste,lavasteessa,48
legaalinen,legaalisessa,38
legendaarinen,legendaarisessa,38
legioonalainen,legioonalaisessa,38
lehikäinen,lehikäisessä,38
lehtinen,lehtisessä,38
-lehtinen,-lehtisessä,38
lehtiäinen,lehtiäisessä,38
lehvistö,lehvistössä,2
lehvästö,lehvästössä,2
leijailu,leijailussa,2
leike,leikkeessä,48
leikillinen,leikillisessä,38
leikittely,leikittelyssä,2
leikkaamo,leikkaamossa,2
leikkele,leikkeleessä,48
leimahtelu,leimahtelussa,2
leimallinen,leimallisessa,38
leipomo,leipomossa,2
leiriläinen,leiriläisessä,38
leivite,leivitteessä,48
leivonen,leivosessa,38
leivonnainen,leivonnaisessa,38
leksikaalinen,leksikaalisessa,38
lellittely,lellittelyssä,2
lemmekäs,lemmekkäässä,41
lemmiskely,lemmiskelyssä,2
leniniläinen,leniniläisessä,38
leninkikangas,leninkikankaassa,41
lenkkeily,lenkkeilyssä,2
lennokas,lennokkaassa,41
lennosto,lennostossa,2
lentely,lentelyssä,2
lentue,lentueessa,48
lepertely,lepertelyssä,2
lepikkoinen,lepikkoisessa,38
lepinkäinen,lepinkäisessä,38
leppäinen,leppäisessä,38
lepsuilu,lepsuilussa,2
lesbolainen,lesbolaisessa,38
lese,leseessä,48
lesiäinen,lesiäisessä,38
lestadiolainen,lestadiolaisessa,38
leukailu,leukailussa,2
leukoija,leukoijassa,11
leveily,leveilyssä,2
leventely,leventelyssä,2
levike,levikkeessä,48
levite,levitteessä,48
levollinen,levollisessa,38
levyinen,levyisessä,38
levyke,levykkeessä,48
levystö,levystössä,2
levyte,levytteessä,48
liberaalinen,liberaalisessa,38
liberalistinen,liberalistisessa,38
libero,liberossa,2
liehakas,liehakkaassa,41
liehittely,liehittelyssä,2
liehuke,liehukkeessa,48
liejuinen,liejuisessa,38
lieroilu,lieroilussa,2
liete,lietteessä,48
lietteinen,lietteisessä,38
liettualainen,liettualaisessa,38
lieve,liepeessä,48
lievike,lievikkeessä,48
lihainen,lihaisessa,38
lihakas,lihakkaassa,41
lihaksekas,lihaksekkaassa,41
lihaksikas,lihaksikkaassa,41
lihaksinen,lihaksisessa,38
lihallinen,lihallisessa,38
liiallinen,liiallisessa,38
liikanainen,liikanaisessa,38
liike,liikkeessä,48
liikenne,liikenteessä,48
liikkuvainen,liikkuvaisessa,38
liikunnallinen,liikunnallisessa,38
liikuskelu,liikuskelussa,2
liikuttelu,liikuttelussa,2
liimakangas,liimakankaassa,41
liimoite,liimoitteessa,48
liioittelu,liioittelussa,2
liipaisu,liipaisussa,2
liite,liitteessä,48
liitely,liitelyssä,2
liittolainen,liittolaisessa,38
liitännäinen,liitännäisessä,38
liivate,liivatteessa,48
liiviläinen,liiviläisessä,38
likainen,likaisessa,38
likeinen,likeisessä,38
likekkäinen,likekkäisessä,38
limainen,limaisessa,38
limboilu,limboilussa,2
limisaumainen,limisaumaisessa,38
limittäinen,limittäisessä,38
limninen,limnisessä,38
lineaarinen,lineaarisessa,38
lingvistinen,lingvistisessä,38
linjakas,linjakkaassa,41
linnake,linnakkeessa,48
linnoite,linnoitteessa,48
linnusto,linnustossa,2
lintunen,lintusessa,38
lintuniisikangas,lintuniisikankaassa,41
lipaisu,lipaisussa,2
lipallinen,lipallisessa,38
lipare,lipareessa,48
lipas,lippaassa,41
lipasto,lipastossa,2
lipeinen,lipeisessä,38
lipeäinen,lipeäisessä,38
lipokas,lipokkaassa,41
