nominative,inessive,type
eksogeeninen,eksogeenisessä,38
eksoottinen,eksoottisessa,38
ekspansiivinen,ekspansiivisessa,38
eksperimentaalinen,eksperimentaalisessa,38
eksplisiittinen,eksplisiittisessä,38
eksponentiaalinen,eksponentiaalisessa,38
ekspressiivinen,ekspressiivisessä,38
ekspressionistinen,ekspressionistisessa,38
ekstaattinen,ekstaattisessa,38
ekumeeninen,ekumeenisessa,38
ekvivalenttinen,ekvivalenttisessa,38
elastinen,elastisessa,38
ele,eleessä,48
eleginen,elegisessä,38
-eleinen,-eleisessä,38
elektrolyyttinen,elektrolyyttisessä,38
elektroninen,elektronisessa,38
elementaarinen,elementaarisessa,38
elimellinen,elimellisessä,38
elitistinen,elitistisessä,38
elje,elkeessä,48
elliptinen,elliptisessä,38
elollinen,elollisessa,38
elvistely,elvistelyssä,2
elvyke,elvykkeessä,48
eläimellinen,eläimellisessä,38
eläke,eläkkeessä,48
eläkeläinen,eläkeläisessä,38
elämyksekäs,elämyksekkäässä,41
elämyksellinen,elämyksellisessä,38
elämänkatsomuksellinen,elämänkatsomuksellisessa,38
embryologinen,embryologisessa,38
emotionaalinen,emotionaalisessa,38
empaattinen,empaattisessa,38
empiirinen,empiirisessä,38
empiristinen,empiristisessä,38
emäksinen,emäksisessä,38
endeeminen,endeemisessä,38
endogeeninen,endogeenisessa,38
endokriininen,endokriinisessä,38
endokrinologinen,endokrinologisessa,38
-enemmistöinen,-enemmistöisessä,38
enemmistöläinen,enemmistöläisessä,38
-energiainen,-energiaisessa,38
energinen,energisessä,38
englantilainen,englantilaisessa,38
ennakkoilmoittautuminen,ennakkoilmoittautumisessa,38
ennakkosäästäminen,ennakkosäästämisessä,38
enne,enteessä,48
ennuste,ennusteessa,48
ennusteellinen,ennusteellisessa,38
ennätyksellinen,ennätyksellisessä,38
ennätysmäinen,ennätysmäisessä,38
ensiesiintyminen,ensiesiintymisessä,38
ensikertalainen,ensikertalaisessa,38
ensimmäinen,ensimmäisessä,38
enteellinen,enteellisessä,38
enteily,enteilyssä,2
-enteinen,-enteisessä,38
entinen,entisessä,38
entisenlainen,entisenlaisessa,38
entusiastinen,entusiastisessa,38
epideeminen,epideemisessä,38
epidemiologinen,epidemiologisessa,38
epikurolainen,epikurolaisessa,38
epileptinen,epileptisessä,38
episkopaalinen,episkopaalisessa,38
epäileväinen,epäileväisessä,38
epäily,epäilyssä,2
epäkäs,epäkkäässä,41
epäsopuinen,epäsopuisessa,38
epätoivoinen,epätoivoisessa,38
epäurheilijamainen,epäurheilijamaisessa,38
epävakainen,epävakaisessa,38
erehtyväinen,erehtyväisessä,38
ergonominen,ergonomisessa,38
erhe,erheessä,48
erheellinen,erheellisessä,38
erikoinen,erikoisessa,38
erilainen,erilaisessa,38
erillinen,erillisessä,38
erinomainen,erinomaisessa,38
erinäinen,erinäisessä,38
eriperintäinen,eriperintäisessä,38
eripurainen,eripuraisessa,38
eriseurainen,eriseuraisessa,38
eriskummainen,eriskummaisessa,38
eriste,eristeessä,48
eristeinen,eristeisessä,38
erite,eritteessä,48
erittely,erittelyssä,2
erityinen,erityisessä,38
erogeeninen,erogeenisessä,38
erojaiset,—,38
eroottinen,eroottisessa,38
erottelu,erottelussa,2
eruptiivinen,eruptiivisessa,38
eräs,eräässä,41
eräänlainen,eräänlaisessa,38
esikoinen,esikoisessa,38
esine,esineessä,48
esineellinen,esineellisessa,38
esite,esitteessä,48
esittely,esittelyssä,2
esityksellinen,esityksellisessä,38
eskapistinen,eskapistisessa,38
eskarilainen,eskarilaisessa,38
eskatologinen,eskatologisessa,38
eskimo,eskimossa,2
esoteerinen,esoteerisessa,38
espanjalainen,espanjalaisessa,38
espresso,espressossa,2
essentiaalinen,essentiaalisessa,38
este,esteessä,48
esteellinen,esteellisessä,38
esteettinen,esteettisessä,38
-esteinen,-esteisessä,38
estely,estelyssä,2
estoinen,estoisessa,38
eteenpäinen,eteenpäisessä,38
eteerinen,eteerisessä,38
eteinen,eteisessä,38
eteläinen,eteläisessä,38
etelävaltalainen,etelävaltalaisessa,38
etinen,etisessä,38
etiologinen,etiologisessa,38
etiäinen,etiäisessä,38
etninen,etnisessä,38
etnografinen,etnografisessa,38
etnologinen,etnologisessa,38
etsiskely,etsiskelyssä,2
etuilu,etuilussa,2
etukenoinen,etukenoisessa,38
etumainen,etumaisessa,38
etummainen,etummaisessa,38
etuoikeuksinen,etuoikeuksisessa,38
etymologinen,etymologisessa,38
etäinen,etäisessä,38
eufemistinen,eufemistisessa,38
euforinen,euforisessa,38
euklidinen,euklidisessa,38
euraasialainen,euraasialaisessa,38
euroatlanttinen,euroatlanttisessa,38
eurooppalainen,eurooppalaisessa,38
europidinen,europidisessa,38
evankelinen,evankelisessa,38
eväs,eväässä,41
faktinen,faktisessa,38
fakultatiivinen,fakultatiivisessa,38
fallinen,fallisessa,38
fanaattinen,fanaattisessa,38
fantastinen,fantastisessa,38
farisealainen,farisealaisessa,38
farkkukangas,farkkukankaassa,41
farmakologinen,farmakologisessa,38
farmarikangas,farmarikankaassa,41
farmarikankainen,farmarikankaisessa,38
fasistinen,fasistisessa,38
